             mu          sigma          Media         Errore
            0.7            0.7       -0.39255     0.00101007
            0.7           0.75       -0.36553     0.00183813
            0.7            0.8      -0.321202     0.00225882
            0.7           0.85      -0.275696     0.00272587
            0.7            0.9      -0.213726     0.00344483
            0.7           0.95      -0.124542     0.00508003
            0.7              1     -0.0420696     0.00651774
            0.7           1.05      0.0709488     0.00769098
            0.7            1.1       0.204782     0.00847703
            0.7           1.15       0.387802      0.0138483
           0.75           0.05        99.0452       0.296856
           0.75            0.1        23.9173      0.0703681
           0.75           0.15        10.0563      0.0293817
           0.75            0.2        5.15411      0.0166471
           0.75           0.25        2.92151      0.0116917
           0.75           0.35       0.829584     0.00470681
           0.75            0.4       0.268708     0.00409456
           0.75           0.45      -0.100635     0.00305674
           0.75            0.5       -0.29858     0.00179492
           0.75           0.55      -0.398675     0.00125931
           0.75            0.6      -0.433545    0.000692494
           0.75           0.65      -0.429546    0.000875122
           0.75            0.7      -0.402891      0.0014853
           0.75           0.75      -0.360197     0.00218137
           0.75            0.8      -0.315257     0.00255406
           0.75           0.85      -0.245735     0.00373153
           0.75            0.9      -0.171259     0.00467256
           0.75           0.95     -0.0785915     0.00491453
           0.75              1       0.020928     0.00655749
           0.75           1.05       0.150863     0.00850522
           0.75            1.1       0.295799     0.00919265
           0.75           1.15       0.480883      0.0133263
            0.8           0.05        98.4859       0.262714
            0.8            0.1        23.8411      0.0732672
            0.8           0.15         9.9836      0.0291766
            0.8            0.2         5.0897      0.0136116
            0.8           0.25        2.84642      0.0103212
            0.8            0.4       0.293873     0.00405741
            0.8           0.45     -0.0755891      0.0027533
            0.8            0.5      -0.292033     0.00213384
            0.8           0.55      -0.404258     0.00114109
            0.8            0.6      -0.442488    0.000860991
            0.8           0.65      -0.438443     0.00102286
            0.8            0.7      -0.405944     0.00152417
            0.8           0.75      -0.350006      0.0021361
            0.8            0.8      -0.285996     0.00337216
            0.8           0.85      -0.206164     0.00431378
            0.8            0.9       -0.11536     0.00493697
            0.8           0.95     -0.0108958     0.00617433
            0.8              1       0.121509     0.00779189
            0.8           1.05        0.27169     0.00871214
            0.8            1.1       0.426622     0.00853604
